epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,43.2128,0.7543,2.85481,1.13173,0.95508,0.11434,0.59942,0.50218,0.64907,3.02018,1.02475,0.00326667,0.00326667,0.00326667
2,82.5624,0.68584,1.41321,1.07463,0.81585,0.39333,0.64773,0.50194,0.85631,2.44277,1.22469,0.00659347,0.00659347,0.00659347
3,122.96,0.72905,1.26617,1.08938,0.47511,0.59035,0.49792,0.35959,1.12964,2.156,1.5431,0.00991367,0.00991367,0.00991367
4,161.328,0.78871,1.23004,1.13089,0.67987,0.45263,0.4942,0.34329,1.29232,2.61454,1.88118,0.0099703,0.0099703,0.0099703
5,199.958,0.774,1.11115,1.1229,0.58098,0.59665,0.59456,0.44307,1.22602,1.89119,1.59846,0.0099604,0.0099604,0.0099604
6,237.515,0.75283,1.01156,1.11393,0.79017,0.65302,0.7522,0.59865,0.90199,1.48629,1.35386,0.0099505,0.0099505,0.0099505
7,274.832,0.73745,0.94466,1.10032,0.80337,0.68885,0.77759,0.61129,0.93997,1.28478,1.33487,0.0099406,0.0099406,0.0099406
8,312.635,0.72481,0.89299,1.09718,0.78104,0.74135,0.80334,0.63807,0.91524,1.14355,1.29784,0.0099307,0.0099307,0.0099307
9,351.653,0.70199,0.84267,1.08552,0.71335,0.70688,0.76221,0.61576,0.84519,1.29874,1.25626,0.0099208,0.0099208,0.0099208
10,389.98,0.69732,0.84038,1.07871,0.70977,0.71645,0.74766,0.60252,0.86882,1.29046,1.26187,0.0099109,0.0099109,0.0099109
11,427.425,0.69237,0.7999,1.07929,0.74275,0.70343,0.7512,0.6154,0.865,1.27143,1.32622,0.009901,0.009901,0.009901
12,466.262,0.6741,0.76532,1.06768,0.71613,0.67898,0.71875,0.54179,1.0667,1.37051,1.41488,0.0098911,0.0098911,0.0098911
13,505.141,0.66475,0.75329,1.0652,0.78758,0.76377,0.8292,0.67661,0.80399,0.9918,1.21609,0.0098812,0.0098812,0.0098812
14,543.317,0.66548,0.74042,1.05747,0.80443,0.7552,0.83987,0.68361,0.82759,0.98132,1.21659,0.0098713,0.0098713,0.0098713
15,579.265,0.64875,0.73182,1.05574,0.80109,0.72827,0.80887,0.64336,0.85758,1.08184,1.27724,0.0098614,0.0098614,0.0098614
16,617.496,0.64366,0.71422,1.0523,0.83266,0.80405,0.87932,0.72886,0.76535,0.8057,1.21599,0.0098515,0.0098515,0.0098515
17,655.868,0.64281,0.70694,1.05167,0.83847,0.79249,0.87392,0.72289,0.75605,0.9006,1.16907,0.0098416,0.0098416,0.0098416
18,693.846,0.63522,0.6927,1.04682,0.82178,0.75979,0.84906,0.70127,0.79931,0.94362,1.20609,0.0098317,0.0098317,0.0098317
19,732.206,0.62594,0.67824,1.04226,0.86906,0.81852,0.9005,0.75765,0.69767,0.78326,1.11068,0.0098218,0.0098218,0.0098218
